index,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,rating,genres,mpaa,description,votes
3172375,tt13996652,movie,Spookie Dookie,Spookie Dookie,0,2022,\N,\N,Comedy,,['comedy'],,,
741914,tt0765828,movie,"Martin Scorsese, l'émotion par la musique","Martin Scorsese, l'émotion par la musique",0,2005,\N,52,Documentary,6.9,['documentary'],,,33
6465380,tt4910580,movie,A Heart of Flesh,A Heart of Flesh,0,\N,\N,\N,Drama,,['drama'],,,
4500467,tt1664825,movie,Reparando,Reparando,0,2010,\N,78,"Biography,Documentary,Drama",6.9,"['documentary', 'biography', 'drama', 'history']",,"On the morning of June 18. 1954, the US CIA dropped leaflets in Guatemala City demanding the resignation of the president. Guatemala was ravaged by Civil War for the next 36 years. But hope is rising. In the midst of incredible odds, victims have been transformed into champions who willfully embrace the pain of their past to help repair the next generation. This is their story. Shorty - a former gang member who is now a pastor, and Tita - a woman who started a school in Guatemala's most notorious slum have joined forces to repair La Limonada.",35
180176,tt0186976,movie,Drop Dead Rock,Drop Dead Rock,0,1995,\N,93,Comedy,5.5,['comedy'],Not Rated,"A down and out rock 'n roll band, Hindenburg, kidnap their favorite British rock star Spazz-O (Maynard), and hold him hostage so he will listen to their music and make them famous. The problem is, Spazz-O's ex-porn star wife Holly Everest (Parks) and his back-stabbing manager, Dave Donovan (Ant), can't wait to get their hands on his fortune, and have hired a hitman to do him in. Thanks to the media feeding frenzy, Spazz-O's career is hotter than ever. Enter media mogul Thor Sturmundrang (Harry) with a big advance check. Now Spazz-O is worth more alive than dead. Dave must outwit the bumbling band, clumsy cops, ruthless record execs and terrifying terrorists to get his just reward.",68
361016,tt0376620,movie,Ghar Parivaar,Ghar Parivaar,0,1991,\N,\N,Drama,5.4,['drama'],,"Shankar, a country fellow, lives with his widowed step mother and two step brothers Balwant and Birju. Shankar loves his step mother and brothers as his own. After Shankar's marriage, his wife Savitri takes care of Balwant and Birju as her own sons. Shankar sends Balwant to the city for higher studies by selling all his property. However, when Shankar returns, he brings his wife along with him, much to the shock of Shankar and Savitri. Watch what happens when Balwant's newly wedded wife refuses to adjust to the simple village life and tries to break the joint family built by the love and care of Shankar and Savitri.",44
1047084,tt10141990,movie,We Shall Not Die Now,We Shall Not Die Now,0,2019,\N,150,"Documentary,History,War",7.8,"['documentary', 'history', 'war']",Not Rated,,253
6847097,tt5772358,movie,How to Win a Tickle Fight,How to Win a Tickle Fight,0,2016,\N,51,"Adventure,Documentary",,"['documentary', 'adventure']",,"A true story of one young family as they strive to live full meaningful lives despite a metastatic cancer diagnosis. With limited time they must decide what is most important to them and figure out what it means to be a good parent in the midst of difficult circumstances. Through their journey they discover that the support they need can come from surprising places and that many things can still go right, even when things have gone terribly wrong.",
18427,tt0018697,movie,The Big City,The Big City,0,1928,\N,70,"Crime,Drama",6.8,"['crime', 'drama']",,,90
55907,tt0056987,movie,Desant na Drvar,Desant na Drvar,0,1963,\N,105,War,6.3,['war'],,"Raid on Drvar known as 'The Seventh Enemy Offensive' or as 'Operation Equestrian jump' was the last attempt of the Germans and Hitler to come to the supreme headquarters of the Partisan army and destroy it along with its supreme commander Titus, which would destroy the entire partisan army. It was an ambitious attempt of the German army to the end of May 1944, the partisan forces decapitated parachute landing. After many fruitless attempts to crush Yugoslav Partisans by conventional means, German general Lothar von Rendulitz comes with a new plan. Elite paratroop force would storm Partisan HQ in Drvar and try to capture or eliminate Partisan leader Tito. In the mean time, people of Drvar, miles from enemy lines, are preparing to celebrate Tito's birthday on May 25th 1944. Raid on Drvar is another movie called partisan action-epic genre after the film The Battle of Kozara.",234
105618,tt0108043,movie,Seven Virgins,Saptha Kanya,0,1993,\N,\N,\N,7.8,,,"DescriptionSaptha Kanya is a 1993 Sinhalese language drama romantic film directed and produced by H.D. Premaratne. The film stars Kamal Addararachchi and Sangeetha Weeraratne in the leading roles. Playback singing was by Damayanthi Jayasooriya, Kamal Addararachchi, Rookantha Gunathilake, Dhammika Valpola and Morris Wijesinghe.",36
6306727,tt4550794,movie,Bad Freind,Bad Freind,0,2005,\N,\N,"Drama,Thriller",,"['drama', 'thriller']",,,
5205661,tt2204456,movie,Cycle,Devir,0,2013,\N,75,Drama,6.0,['drama'],Not Rated,"At the end of every summer, 'Hasanpasa' village holds a shepherding contest. The traditional contest requires shepherds to herd their sheep one by one through a pool of water. The shepherd who crosses the pool with his flock fastest and with least hesitation wins the contest. 'Hasanpasa's seasoned champion for the past eight years is an elderly shepherd known as 'Takmaz'. 'Takmaz' is determined to teach the younger generation the finer points of being a good shepherd, like him.",203
421674,tt0439256,movie,Mother's Little Helpers,Mother's Little Helpers,0,2005,\N,132,Drama,6.8,['drama'],,Nine juvenile delinquent girls break out of a reform school and form a secret cabal involving archetypes from ancient Greece. The girls discover from a Ouija board that they might be reincarnated beings with an ancient past and that they were jailed for crimes that those archetypes represent.,15
1057024,tt1015968,movie,All in This Tea,All in This Tea,0,2007,\N,70,Documentary,7.2,['documentary'],Not Rated,"During the 1990s, David Lee Hoffman searched throughout China for the finest teas. He's a California importer who, as a youth, lived in Asia for years and took tea with the Dali Lama. Hoffman's mission is to find and bring to the U.S. the best hand picked and hand processed tea. This search takes him directly to farms and engages him with Chinese scientists, business people, and government officials: Hoffman wants tea grown organically without a factory, high-yield mentality. By 2004, Hoffman has seen success: there are farmers' collectives selling tea, ways to export ""boutique tea"" from China, and a growing Chinese appreciation for organic farming's best friend, the earthworm.",295
3106732,tt13878596,movie,My Sweet Treason,My Sweet Treason,0,2021,\N,\N,Drama,,['drama'],,,
2261581,tt12321440,movie,Die Pest,Die Pest,0,2020,\N,60,Drama,,['drama'],,,
149676,tt0154386,movie,Delivering the Nation's Goods,Delivering the Nation's Goods,0,1957,\N,\N,Documentary,,['documentary'],,,
4207027,tt15881602,movie,Mine,Mine,0,2020,\N,\N,Drama,,['drama'],,,
60860,tt0062063,movie,L'occhio selvaggio,L'occhio selvaggio,0,1967,\N,98,"Adventure,Drama",6.9,"['adventure', 'drama']",,"Paolo is a documentary filmmaker on a mission to see the world and present human nature in its true and raw form, even pushing his crew to the limit to capture the brutality of a world gone mad even at the expense of safety and a moral price.",118
7184796,tt6530104,movie,"Hochelaga, Land of Souls","Hochelaga, Terre des Âmes",0,2017,\N,100,History,6.4,['history'],,,490
73404,tt0074959,movie,The Net,Das Netz,0,1975,\N,106,"Drama,Mystery",5.8,"['drama', 'mystery']",,"The aging writer Aurelio Morelli is disillusioned: although the critics like his books, they are barely read. He develops hatred on youth and their depraved moral. One night he goes with a callgirl - and kills her. The police doesn't have a clue, only the unscrupulous sensational journalist Bossi suspects him. Instead of naming him to the police, he persuades Morelli to write about the murder for his paper. Morelli uses the occasion to write his memoirs, in which he confesses lots of other crimes before this last one...",118
2354788,tt12492342,movie,"Lyon, autopsie d'une grande ville (Inventaire des rues du 5ème arrondissement)","Lyon, autopsie d'une grande ville (Inventaire des rues du 5ème arrondissement)",0,2014,\N,85,Documentary,,['documentary'],,,
155738,tt0160871,movie,Sin Tax,Sin Tax,1,1996,\N,\N,Adult,,['adult'],,,
292464,tt0305568,movie,Fanfan,Fanfan la Tulipe,0,2003,\N,97,"Adventure,Comedy,Romance",5.7,"['adventure', 'comedy', 'romance']",,"In this 2003 remake of the classic 1952 French film, Fanfan la Tulipe is a swashbuckling lover who is tricked into joining the army of King Louis XV by Adeline La Franchise, who tells Fanfan that by doing so, he will eventually marry one of the king's daughters.",5217
35507,tt0036138,movie,Ein Mann mit Grundsätzen?,Ein Mann mit Grundsätzen?,0,1943,\N,93,Comedy,6.5,['comedy'],,"The day before chemist Dr. Hans Wynhold leaves for a six months business trip to Africa, he meets chemistry student Christa Weiden. They spend the evening together in St. Pauli and fall in love. She doesn't tell him that she'll start the next day at the chemistry laboratory he works at too, because he says he doesn't like women in ""men's jobs"". Only after his departure the next day Christa learns about Hans' reputation as a Don Juan. In fear that she'll lose him to another woman, she follows him... and starts a series of complications.",26
4194745,tt1585977,movie,The Price of Happiness,The Price of Happiness,0,2011,\N,83,Drama,7.0,['drama'],Unrated,,18
3675267,tt14909264,movie,Al sur del indie,Al sur del indie,0,2016,\N,\N,Documentary,,['documentary'],,,
4991803,tt1975993,movie,The Recordist,The Recordist,0,1993,\N,100,Sci-Fi,6.4,['sci-fi'],Not Rated,,10
93566,tt0095669,movie,Mujer de fuego,Mujer de fuego,0,1989,\N,98,Drama,6.6,['drama'],,,18
274286,tt0286467,movie,A Bride for Rent,Aroussa lel ajar,0,1946,\N,\N,\N,,,,,
404418,tt0421569,movie,Agujero,Agujero,0,2004,\N,47,Mystery,7.9,['mystery'],,,22
3460720,tt1451794,movie,Gay Days,Hazman havarod,0,2009,\N,72,"Documentary,Romance",6.3,"['documentary', 'romance']",,"In 1985, there were three gays who were out of the closet in Israel. By 1998, there were 3,000. In this short, intensive and dramatic period, Israel came out of the closet in one of the quickest and most colorful revolutions of the end of the 20th century. There was no bloodshed in this revolution, but a rare cooperation between academics, prostitutes, transsexuals, singers, hairdressers and military officers. The director, Yair Qedar, documented this revolution in he's newspaper, The Pink Times. Using rare archival materials, personal stories and touching scenes, and via his own personal diary, the film tells the untold story of the GLBT revolution in Israel in an energetic, bittersweet musical collage.",26
6613227,tt5245290,movie,These Dog Days,These Dog Days,0,2015,\N,\N,\N,,,,,
429856,tt0447672,movie,Morðsaga,Morðsaga,0,1977,\N,90,"Crime,Drama",6.9,"['crime', 'drama']",,,57
8153909,tt8652500,movie,Setting the Bar: A Craft Chocolate Origin Story,Setting the Bar: A Craft Chocolate Origin Story,0,2018,\N,85,Documentary,7.0,['documentary'],,,16
22137,tt0022498,movie,Trails of the Golden West,Trails of the Golden West,0,1931,\N,58,Western,,['western'],,"A wagon train of ""Forty-Niners"" heading for the California gold fields includes a girl, her father and an old black servant, who have hidden their family jewels and life savings in their wagon. One of the men in the train plots with some Indians to attack the caravan and steal the family's wealth. In order to isolate their wagon, the villain has one of his men pose as a small pox victim so that the wagon train will leave them behind. After they fight with the Indians and the band of outlaws, the girl and her family are saved by the leader of the wagon train.",
3422947,tt14449378,movie,The Realm,The Realm,0,\N,\N,\N,"Horror,Sci-Fi,Thriller",,"['horror', 'sci-fi', 'thriller']",,,
5031746,tt2017489,movie,Crush ko si Sir,Crush ko si Sir,0,1971,\N,\N,\N,,,,,
19009,tt0019289,movie,The Power of Silence,The Power of Silence,0,1928,\N,60,Mystery,,['mystery'],,,
248423,tt0259361,movie,Illalu,Illalu,0,1940,\N,\N,Drama,,['drama'],,,
8480949,tt9363748,movie,Mushroomhead: Vol. III,Mushroomhead: Vol. III,0,2018,\N,101,\N,,,Not Rated,"The legendary masked band Mushroomhead began performing incognito to prevent any preconceived ideas of what the band was about. After a short time, a rabid loyal following catapulted Mushroomhead to must see status and their DIY determination made them impossible to ignore. The band has gone on to sell over 1 million albums and is credited with inventing a music genre that remains unique today. Volume III is a video collection of over 90 minutes of ground-breaking visuals and a culmination of exclusive never-seen-before footage and music that will be released in 2018 on Megaforce Records.",
257186,tt0268572,movie,Renuka,Renuka,0,1947,\N,\N,\N,,,,,
1151757,tt10329546,movie,Juara,Juara,0,2016,\N,106,Action,8.1,['action'],,,26
58797,tt0059939,movie,Zakochani sa miedzy nami,Zakochani sa miedzy nami,0,1965,\N,71,"Comedy,Drama",5.8,"['comedy', 'drama']",,,10
8293594,tt8959084,movie,Patsy Lee & The Keepers of the 5 Kingdoms,Patsy Lee & The Keepers of the 5 Kingdoms,0,\N,\N,\N,Adventure,,['adventure'],,,
3373648,tt1436033,movie,Jekyll,Jekyll,0,\N,\N,\N,"Drama,Horror,Sci-Fi",,"['drama', 'horror', 'sci-fi']",,,
128254,tt0131868,movie,Baccarat,Baccarat,1,1991,\N,\N,Adult,,['adult'],,,
211546,tt0220671,movie,Now You're Talking,Now You're Talking,0,1979,\N,47,"Documentary,History",8.4,"['documentary', 'history']",,,13
1227554,tt10465998,movie,The Imposible Mission,The Imposible Mission,0,2018,\N,63,"Action,Crime,Drama",,"['action', 'crime', 'drama', 'family', 'horror', 'mystery']",,,
191785,tt0199470,movie,Divórcio à Brasileira,Divórcio à Brasileira,0,1973,\N,102,Comedy,,['comedy'],,,
7033952,tt6192912,movie,Die Entkleidete Braut,Die Entkleidete Braut,0,1919,\N,\N,Comedy,,['comedy'],,,
6423207,tt4815016,movie,Hone nusumi,Hone nusumi,0,1924,\N,\N,Drama,,['drama'],,,
154061,tt0158990,movie,The Stain in the Blood,The Stain in the Blood,0,1916,\N,\N,Western,,['western'],,"En route to the west, Mary and Joe Thompson are left orphans through the death of their parents during an Indian raid on their wagon train. Joe manages to escape with Mary in his arms and they eventually reach a little western mining town, where Bill Jenkins, a prospector, finds them and takes them into his home as his children. About the time Joe reaches manhood, Jenkins is mad sheriff. Joe has developed vicious traits, and has been making a practice of highway robbery. Unknown to Jenkins or to his sister, he one day holds up a stage. After it has passed him, the messenger dismounts from the box and starts back to see if he can capture the bandit. A gunfight follows in which Joe is seriously wounded. Joe makes his escape and arrives home weak from loss of blood. Mary demands an explanation of his condition and he confesses his crime. He tells her that he will surely be captured and urges her to go east with him. She agrees on the condition that he leave his plunder there to be found later and restored to its owners. He reluctantly agrees. They go to the railroad station where an engine tender sees them aboard the train. In the meantime, a the stage has arrived and the news of the robbery is spread. The citizens organize a posse to try and capture the bandit. Jenkins, the sheriff, goes to the house, where he finds the blood stains and the money which Joe left in his flight. Just then the posse enters. When they see the unmistakable evidence of robbery, they accuse Jenkins of being the guilty one, and are about to lunch him when the engine tender comes upon the scene and tells of having seen Joe and Mary leave town. Jenkins boards a light engine and starts in pursuit of Joe and Mary. At a town not far down the track, Joe, too weak to travel further, leaves the train with Mary, and they go to a hotel. Jenkins hears of this and trails them there with the posse. To avoid suspicion, Mary registers for Joe, showing them as man and wife. They are caught, and Joe surrenders. Mary goes on east where she secures employment in the laboratories of a young inventor. The later marries him and still later he succeeds in selling an invention which leaves them independently wealthy. Joe, in the meantime, has escaped from prison and no one has been able to locate him. Mary's husband meets and becomes infatuated with a cabaret singer, the same woman who was in the western town at the time of Joe's capture. Mary learns of her husband's infidelity and goes to him to plead for his reformation. Upon her entrance into the room, the singer who has been there with the husband, hides herself in an adjoining closet where she sees and hears all that takes place. After Mary's departure, she tells the husband about the episode in the west and that Mary is married to a criminal. The husband immediately starts divorce proceedings. He will not listen to Mary's side of the story. He sends for and receives the register which he holds as evidence of Mary's previous marriage. Joe is nowhere to be found, so Mary cannot get his testimony regarding the affair. About this time the city is thrown into a furor by the news that a second story man is working there, and always eluding the police. This gives Mary an idea. She decides to enter the office of her husband's attorney and steal the evidence contained in the register. She puts on man's clothing and effects an entrance. At the same time, the second story worker enters the same house from another window. They encounter each other in the dark and Joe flashes a light in her face before shooting. He recognizes his sister and is making an explanation when a detective who has seen Mary enter the house, comes into the room. The detective fires at Mary in the dark and wounds her. The noise brings in the lawyer and Mary's husband, who is in conference with him in another part of the house. Mary, wounded, insists upon telling her story. They listen, and when she has finished, Joe comes forward and confesses himself the escaped criminal and corroborates all she has said. In the face of this, Mary's innocence is not to be doubted and a reconciliation follows. Through the power and influence of Mary's husband, Joe's path in it all is kept from the police, and he reforms.",
3660006,tt1488183,movie,Zügelloses Blut. 2. Die Diamantenfalle,Zügelloses Blut. 2. Die Diamantenfalle,0,1920,\N,\N,Drama,,['drama'],,,
49645,tt0050545,movie,Invasion of the Saucer Men,Invasion of the Saucer Men,0,1957,\N,69,"Family,Horror,Sci-Fi",5.3,"['family', 'horror', 'sci-fi']",Passed,"A teenage couple making out in the woods accidentally runs over an alien creature with their car. The creature's hand falls off, but it comes alive, and, with an eye growing out of it, begins to stalk the teens. Meanwhile, Joe the town drunk wants to store the body in his refrigerator, but some of the alien's buddies inject alcohol into his system, and Joe dies of an overdose.",1858
4082968,tt15654686,movie,Baykalskiye kanikuly 2.0,Baykalskiye kanikuly 2.0,0,2017,\N,81,Comedy,,['comedy'],,,
8278946,tt8927276,movie,Twisted Palms,Twisted Palms,0,\N,\N,\N,Thriller,,['thriller'],,,
220940,tt0230647,movie,Postmaster,Postmaster,0,1964,\N,152,\N,,,Not Rated,,
5720773,tt3218636,movie,Warunorri the Movie,Warunorri the Movie,0,2013,\N,70,Action,,['action'],,,
60848,tt0062051,movie,North Sea Strike,North Sea Strike,0,1967,\N,\N,Documentary,,['documentary'],,,
3228509,tt1409785,movie,Paula,Paula,0,1969,\N,\N,Drama,,['drama'],,,
1967803,tt11789888,movie,Hij@s del 92,Hij@s del 92,0,2017,\N,\N,Documentary,,['documentary'],,"'Sons of 92' commemorates the 25th anniversary of the 1992 Barcelona Olympics through the eyes of three young people born that year. The Games were a success and a possible reference thanks to the involvement of all administrations. The documentary analyzes the urban and social transformations experienced by Barcelona since Juan Antonio Samaranch, president of the International Olympic Committee, pronounced the words ""À la ville de Barcelona"". ""Open the city to the sea"" or ""put Barcelona on the map"" were phrases that are part of the city's history. Today Barcelona enjoys four kilometers of beaches and has a consolidated international prestige. The ""sons of 92"" question about the massive practice of sport, the evolution of the center or the birth of the nothingness of a neighborhood like the Olympic Village.",
1703284,tt11317016,movie,Mexican Express,Mexican Express,0,\N,\N,64,Documentary,,['documentary'],,"Before ""Racing was their Addiction,"" we go back with Rick and Fred Esparza to a picturesque East Long Beach 1940s. As Rick steps unto his teens late 50s, the Esparza family move to the unique diverse streets of the ""Westside"". As a result becoming a troublesome youth while his older brother Fred is drafted in '63. After his service, he straightens out Rick's delinquent self bringing him on board his unfinished race car, a 1941 ""Willy's"" Truck the ""Mexican Express."" This vehicle of investment, passion and brotherhood immerses them into the height of 1960s Southern California Drag Racing. Being at the forefront of Motorsports, they raced nearby at the legendary Lion's Drag Strip that existed until '72. This venture of racing would forever change the brothers' lives.",
6599010,tt5213016,movie,In Search of Doc Holliday,In Search of Doc Holliday,0,2016,\N,75,"Documentary,Western",6.8,"['documentary', 'western']",,,141
6016921,tt3901340,movie,Bigfoot: Blood Trap,Bigfoot: Blood Trap,0,2017,\N,95,"Drama,Thriller",4.3,"['drama', 'thriller']",,,27
6271294,tt4470266,movie,Numb,Numb,0,2015,\N,90,"Mystery,Thriller",5.5,"['mystery', 'thriller']",Not Rated,,2930
6449644,tt4875420,movie,Chillers 2,Chillers 2,0,2015,\N,92,Horror,4.9,['horror'],,"Starlet - Cory loves two things - making movies and Amy. His obsession with both will lead him down a dark path as he strives to make his next horror film completely realistic. Is Amy ready to become his next starlet? Getaway - Adam and Maggie have been fighting for months and each wants a way out of their marriage. Divorce isn't the most lucrative way to put an end to the bickering, so on an impromptu getaway to the country each plots against the other to regain their freedom and cash in on their life insurance. Will they be successful in their endeavors? Or will their efforts be thwarted? Ah Puch - While on a trip to Belize Moira travels off the beaten path to visit some Mayan ruins and upon her return she and Rachel discover a new key for deciphering Mayan texts. They return to Belize where Rachel recites an ancient Mayan incantation to become a demigod with a fierce legion of deadly mind controlled slaves. Moira must enlist the aid of Matthew and Aleksi in an effort to end the chaos that threatens to take over the world.",14
5158181,tt2150485,movie,Storm City 3D,Storm City 3D,0,2012,\N,\N,Documentary,8.7,['documentary'],,,11
57564,tt0058676,movie,El tragabalas,El tragabalas,0,1966,\N,85,"Comedy,Drama,Western",5.8,"['comedy', 'drama', 'western']",,,20
5306581,tt2318503,movie,G-Dog,G-Dog,0,2012,\N,93,Documentary,7.4,['documentary'],Not Rated,,114
7336613,tt6869520,movie,The Haunted Halls of Carey School,The Haunted Halls of Carey School,0,2016,\N,\N,Documentary,,['documentary'],,,
1560049,tt11058472,movie,Warheads,Warheads,0,\N,\N,\N,Drama,,['drama'],,,
150583,tt0155331,movie,Vasarely,Vasarely,0,1978,\N,55,Documentary,,['documentary'],,,
193765,tt0201674,movie,Huang huo,Huang huo,0,1984,\N,\N,"Action,Thriller",6.1,"['action', 'thriller']",,"Alan Tang Kwong-Wing is a young family man in San Francisco whose sense of obligation to his gangster cousin conflicts with his home life. When he is falsely accused of the murders of some Vietnamese gangsters, Tang flees to his native Hong Kong, followed closely by his wife and small child, a corrupt CIA agent (as if there were anything else), and the remaining Vietnamese gang members out for revenge. The wife and kid get kidnapped, but Tang and a friend kick everyone's ass, with the wife helping out in rather unexpected ways.",11
239784,tt0250309,movie,Confessions of a Marriage Junkie,Confessions of a Marriage Junkie,0,1994,\N,113,Comedy,6.6,['comedy'],,,13
181647,tt0188578,movie,Duke Daniels E.P.K.,Duke Daniels E.P.K.,0,1998,\N,\N,\N,,,,,
289670,tt0302632,movie,He's So Fine,He's So Fine,0,1993,\N,\N,\N,7.2,,,,9
7905467,tt8110474,movie,Emma,Emma,0,2018,\N,77,Drama,4.6,['drama'],,,23
5728898,tt3237396,movie,Zico: Futebol pra Quem Começa,Zico: Futebol pra Quem Começa,0,1988,\N,\N,Documentary,,['documentary'],,,
938647,tt0969298,movie,Mona Lisa,Meng na li sha,0,2007,\N,110,Documentary,8.1,['documentary'],,,19
8303462,tt8980390,movie,Petmalu,Petmalu,0,2018,\N,90,Comedy,7.9,['comedy'],,"""Petmalu"" is a Filipino slang word for ""cool."" This movie follows a group of seven young friends through a number of life challenges and successes with themselves and one another. A comedy film from Red Nine Entertainment and Larger than Life.",14
5958858,tt3769764,movie,Vasilisa,Vasilisa,0,2014,\N,100,"History,Romance",4.6,"['history', 'romance']",,"""Vasilisa"" - Russian historical film directed by Anton Sievers, as well as the self-titled mini-television series of the four series. The film tells about the Patriotic War of 1812. It was planned that the film release will mark the 200th anniversary of the Battle of Borodino but the dates were postponed. Special screening of the film took place in April 2014 in the Crimea, and then in St. Petersburg at the festival ""Vivat, Russian Cinema"". The film was first shown in the cinema on December 4, 2014.",176
234430,tt0244679,movie,Nazrana,Nazrana,0,1955,\N,\N,\N,,,,,
223062,tt0232841,movie,Traitement spécial pour bourgeoise insatisfaite,Traitement spécial pour bourgeoise insatisfaite,1,1984,\N,\N,\N,,,,,
2238449,tt12280150,movie,The Dark Places,The Dark Places,0,2020,\N,93,Thriller,,['thriller'],Not Rated,,
80932,tt0082708,movie,Der Mann im Pyjama,Der Mann im Pyjama,0,1981,\N,95,Comedy,6.4,['comedy'],,,47
4862867,tt1841898,movie,Trabant Goes to Africa,Trabantem napric Afrikou,0,2011,\N,96,Documentary,7.8,['documentary'],Not Rated,"People have dreams - big, small, impossible... But where lies the limit of the impossible? Try to cross it and you will see. Trabant Goes to Africa is a movie about crossing this limit. It's a movie about a journey that is said to be impossible. It's a movie about the chance to interrupt one life, take all you have and for a quarter of a year live another life. In a real Africa. In Africa that is different from the one we know from TV. Two strokes, two pistons, two trabants and one big black continent. Without embellishment, without backup vehicles, without guarantee of a happy ending. Documentary roadmovie about traveling through Africa on their own hook and at their own risk.",147
192131,tt0199865,movie,Ninja: Silent Assassin,Ninja: Silent Assassin,0,1987,\N,88,Action,4.0,['action'],,"When police officer Alvin loses both his star witness and his wife to drug kingpin (and ninja assassin) Rudolph, he vows to get revenge. Travelling to Hong Kong, hot on Rudolph's trail, he teams up with local investigators Gordon, Vivian and Jackie. Meanwhile, a young street punk named Edmund is hunting for the man who killed his father. Could they all possibly be searching for the same person?",220
8397616,tt9185398,movie,Volcano,Volcano,0,\N,\N,\N,\N,,,,,
28852,tt0029361,movie,The Outcasts of Poker Flat,The Outcasts of Poker Flat,0,1937,\N,67,Western,5.9,['western'],Passed,"A California mining camp is plagued by a series of murders. Four people come under suspicion for the killings and are run out of the camp. During a blizzard they take refuge in an isolated cabin, and conflicts begin to break out among them.",177
275376,tt0287601,movie,Ocumicho,Ocumicho,0,1999,\N,\N,Documentary,,['documentary'],,,
6360283,tt4671642,movie,Ai de qi ji,Ai de qi ji,0,1974,\N,\N,Romance,,['romance'],,,
359341,tt0374897,movie,Naila,Naila,0,1965,\N,\N,Musical,7.5,['musical'],,,12
6402240,tt4768456,movie,No Peace. Never. Gorbachev-Interview,No Peace. Never. Gorbachev-Interview,0,1991,\N,\N,Documentary,,['documentary'],,,
71115,tt0072603,movie,The French Detective,Adieu poulet,0,1975,\N,91,"Crime,Drama",6.8,"['crime', 'drama']",,"When political thugs murder an opponent's volunteer and also kill a cop, chief inspector Verjeat believes the politician who hired them is as guilty as the murderous goon. Verjeat's pursuit of the councilman, Lardatte, gets him a warning from his superiors. When he embarrasses Lardatte while disarming a hostage (the dead volunteer's father), Verjeat is told he's being transferred within a week. He speeds up his hunt for the goon and, with Lefévre, one of his young detectives, he engineers a complicated scheme to buy more time before the transfer. How should Verjeat play out his values of honor and duty?",1613
317886,tt0331890,movie,Cold-Hearted Days,Bijeong shidae,0,1976,\N,103,\N,,,,,
6432419,tt4835558,movie,Garden of Eden,Edeno Sodas,0,2015,\N,93,"Comedy,Drama,Sci-Fi",5.9,"['comedy', 'drama', 'sci-fi']",,"Lithuania in the near future. The land is full of rich immigrants. Rich Lithuanians that were scattered throughout the world return to Lithuania to spend their golden years in luxurious nursing homes; and the laws that govern life and death provide a feeling of security... The residents of the Garden of Eden look upon this ""global theatre of life"" with tearful smiles and great wisdom.",99
270588,tt0282570,movie,Los hombres de Lupe Alvírez,Los hombres de Lupe Alvírez,0,1967,\N,87,"Action,Adventure,Drama",,"['action', 'adventure', 'drama', 'western']",,,
